Lab,Code,d250,d500,d750,d1000,FingerGroup,Hand,ReadingDir,MathTest,AMAS
8gdp3,102s,5.745109986109583,6.147081910103225,-3.733796957253162,-6.574940020532381,RS,RH,LTR,11,30
8gdp3,120s,-7.749360883894269,-7.246250814650011,-5.993661712398421,-5.475282710308022,RS,RH,LTR,16,36
8gdp3,61s,6.8836703994611526,5.451859960780325,-16.984808029579312,-21.119596427426018,LS,RH,LTR,23,18
8gdp3,82s,13.976567674232626,-3.1763019677121065,3.530679866643254,16.266213384139803,LA,RH,LTR,15,27
8gdp3,85s,-0.9559032660779394,20.638438993571356,-8.178414379523986,4.98506556167149,LS,RH,NLR,23,11
8gdp3,92s,2.3613917291186226,4.871149179143686,-7.9297261993360735,-13.38444641494334,RA,RH,LTR,16,42
8gdp3,99s,-26.842901795751573,-5.321542052674545,-7.998572885219687,8.646426820562795,RS,RH,LTR,18,30
fkjbz,cipora_04_010617,2.63242989359469,9.339555125217203,2.7897993667803576,-17.563385912901936,NG,LH,LTR,18,14
fkjbz,cipora_38_010717,3.0686026809689793,5.539333971357621,21.363537437798357,-3.14548952928817,RS,RH,LTR,7,19
fkjbz,cipora_42_050717,6.081421893464949,-23.492616461714988,-9.128547650368546,-11.733612136868032,RS,RH,LTR,19,24
fkjbz,cipora_47_060717,24.62238673153331,-12.354522197276879,-29.820151798328084,-6.9126771674070255,RS,LH,LTR,24,26
fkjbz,cipora_50_060717,4.368941817972143,17.294021169414123,2.3654739754228444,-5.801585533917319,RA,RH,LTR,25,19
fkjbz,cipora_51060717,6.6065263585572325,18.192039527587838,-24.610343582448138,19.530264019243532,RS,RH,LTR,15,15
fkjbz,cipora_65_130717,10.025059275342699,-13.636909537646147,24.4412926030422,18.729168957897855,RS,RH,LTR,15,16
pqcf4,Holmes_S08_170329_3pm,-15.83925654509585,13.560371168396273,-7.021423944905791,6.631725908707153,LS,RH,LTR,19,28
pqcf4,Holmes_S45_170412_3pm,-9.667130310162975,-0.8222935572721326,-7.123240282782319,16.87899972617589,LA,RH,LTR,18,20
pqcf4,Holmes_S58_170414_2pm,-8.608067902117341,-1.158631498353202,10.033947062824552,9.819502249796415,LS,LH,LTR,25,12
pqcf4,Holmes_S60_170414_5pm,11.825831441617481,-5.419760804401108,8.77952465811785,-2.7859457285291,LS,RH,LTR,24,20
pqcf4,Holmes_S68_170416_4pm,-10.605574015198727,-7.448292310657337,-10.14910947522435,2.341712065930551,RA,RH,NLR,23,9
pqcf4,Holmes_S69_170416_5pm,15.446559787915248,-1.4925392812074278,4.366327037125586,-9.163026785564682,LS,RH,LTR,19,34
t5y2h,Mieth_S107_100517,-8.809852231583818,-11.224375916082408,-6.713270757532314,-4.55104709801617,RS,RH,LTR,19,17
t5y2h,Mieth_S108_100517,-10.715348573278732,5.074798228936459,2.776275794190042,-13.003584309763028,RA,RH,LTR,13,14
t5y2h,Mieth_S109_100517,-25.319680975727124,-4.420711428137338,26.03653604047338,13.23986055283774,LS,LH,LTR,24,22
t5y2h,Mieth_S110_100517,22.956496878532562,-15.699234871206045,1.7124956754866503,-4.88197394577935,LS,RH,LTR,24,28
t5y2h,Mieth_S116_110517,-14.477786875855202,-24.096975444556847,5.15686864424805,11.38652312917219,RS,RH,NLR,11,29
t5y2h,Mieth_S117_110517,15.831653049660474,-19.63127989831719,27.72401943100772,31.331206907151,RA,RH,LTR,10,23
t5y2h,Mieth_S118_110517,-2.3511437887704005,-0.037814470649664145,-0.18610399284386858,3.978994687832028,LS,RH,NLR,18,20
t5y2h,Mieth_S119_110517,10.93652248620549,12.138329707394405,5.635257801077387,5.0133550054735565,LA,RH,LTR,19,20
t5y2h,Mieth_S121_120517,1.340638001369598,0.24644540531323855,10.702011554936234,2.2984243338570423,LA,LH,LTR,20,22
t5y2h,Mieth_S124_120517,-8.490307207034675,4.561751691699101,-4.558714344149223,17.979890971309942,RA,LH,LTR,18,24
t5y2h,Mieth_S36_250417,-13.62771330598207,-2.9204977511540164,6.665618381425304,4.903514121430135,RS,RH,LTR,18,9
t5y2h,Mieth_S68_030517,-0.44925029920034376,-22.35234942412535,-2.8651295913306285,17.634332540485786,RS,RH,NLR,19,18
t5y2h,Mieth_S69_030517,-6.562526001249182,12.428002409603778,-19.386688387325705,6.9060937757186025,RS,RH,LTR,24,12
t5y2h,Mieth_S7_180417,-20.538454176767118,-14.15040715364853,-2.7810155966586194,-4.578778770993949,LS,RH,LTR,16,35
t5y2h,Mieth_S70_030517,3.8300323722231155,10.143788588231928,-5.239541618817952,-4.974724531209574,NG,LH,LTR,17,20
t5y2h,Mieth_S72_030517,11.844529184109206,2.905454005599495,-10.776405996124936,9.022487777542665,RS,RH,LTR,16,31
t5y2h,Mieth_S73_030517,5.627913863722142,2.052054403201282,3.683880102862986,-2.5623167452732787,NG,RH,LTR,10,14
t5y2h,Mieth_S78_030517,-12.183576176382417,10.407587957685735,-0.9189659269562753,-14.978665840282247,LS,RH,LTR,16,32
t5y2h,Mieth_S82_040517,-4.468705741623467,-10.09649949278355,14.037029816790891,-4.623909075125539,LS,RH,LTR,20,22
t5y2h,Mieth_S95_090517,-1.4906144880575312,4.473840045180509,5.837145255739642,-2.802552763173196,RS,RH,LTR,10,31
t5y2h,Mieth_S97_090517,-4.02171043232272,25.34957024429508,1.2537464779346692,-20.448409879298822,LS,RH,LTR,10,22
